iter	Logloss
355	0.4562408949
356	0.4561587032
357	0.4560376247
358	0.4559211776
359	0.4558317316
360	0.4557765697
361	0.4557151989
362	0.4556463703
363	0.4555801998
364	0.4554613386
365	0.4553950508
366	0.4553129019
367	0.4550942996
368	0.4550101704
369	0.4549573906
370	0.4548983096
371	0.4547420786
372	0.4546402558
373	0.4545254548
374	0.4544199949
375	0.4543568486
376	0.4542779879
377	0.4541782819
378	0.4540324795
379	0.4539543834
380	0.4538165013
381	0.4537419388
382	0.4536529829
383	0.4535801127
384	0.4534741549
385	0.4534034613
386	0.4532204949
387	0.4531338123
388	0.4529939654
389	0.4528039185
390	0.4527331144
391	0.4526495088
392	0.452528113
393	0.4523963851
394	0.4522673335
395	0.4522199652
396	0.4521038841
397	0.4519540462
398	0.4519053639
399	0.451778842
400	0.45170655
401	0.4516220546
402	0.4515159228
403	0.451449822
404	0.4513669932
405	0.4512923269
406	0.4511246447
407	0.4510440291
408	0.4509127399
409	0.4507324544
410	0.4506630286
411	0.4505590789
412	0.4504635968
413	0.4503672559
414	0.4502740896
415	0.4501577848
416	0.4500693637
417	0.4499301458
418	0.4498139646
419	0.449668825
420	0.4495322388
421	0.4494476513
422	0.4493785176
423	0.4492751164
424	0.4492014799
425	0.4491459502
426	0.449087098
427	0.4489976247
428	0.4488667889
429	0.4488212335
430	0.4487265662
431	0.4486215739
432	0.4485497642
433	0.4484609252
434	0.4483186153
435	0.4482329794
436	0.4481458816
437	0.4480630818
438	0.4479848279
439	0.447908268
440	0.4478020704
441	0.4477162737
442	0.4476427317
443	0.4475827415
444	0.4475079622
445	0.4473788307
446	0.4473113811
447	0.4472667745
448	0.4471440926
449	0.4470795602
450	0.4470210889
451	0.4469209207
452	0.446773142
453	0.4467195139
454	0.446620382
455	0.4465603212
456	0.4465056334
457	0.4464665419
458	0.4463748094
459	0.4462883805
460	0.4461847562
461	0.4460944339
462	0.4459909644
463	0.4458891252
464	0.4457969724
465	0.4457328239
466	0.4456766968
467	0.4455499142
468	0.4454316773
469	0.4453257322
470	0.4452684262
471	0.4450862379
472	0.4450273444
473	0.4449036288
474	0.4448450883
475	0.4447727251
476	0.4446678434
477	0.4445768384
478	0.4445105777
479	0.444451853
480	0.4443650665
481	0.4442373275
482	0.4441647769
483	0.4440528367
484	0.4439336471
485	0.4438957556
486	0.4438007592
487	0.4436989106
488	0.4436243841
489	0.44353268
490	0.4434690336
491	0.4433796506
492	0.4432723918
493	0.443214795
494	0.4431609896
495	0.4430739934
496	0.4430194347
497	0.4429679308
498	0.4429075654
499	0.442837982
