iter	Passed	Remaining
337	2437	4774
338	2444	4766
339	2452	4760
340	2459	4752
341	2465	4744
342	2473	4737
343	2480	4730
344	2487	4722
345	2494	4715
346	2502	4708
347	2509	4700
348	2516	4693
349	2523	4686
350	2530	4679
351	2538	4672
352	2544	4664
353	2551	4656
354	2558	4649
355	2566	4642
356	2573	4634
357	2580	4627
358	2587	4620
359	2594	4613
360	2602	4606
361	2609	4598
362	2616	4591
363	2623	4583
364	2630	4575
365	2637	4569
366	2644	4561
367	2652	4554
368	2659	4548
369	2666	4540
370	2673	4533
371	2680	4525
372	2687	4518
373	2694	4510
374	2701	4502
375	2708	4495
376	2715	4487
377	2722	4479
378	2729	4472
379	2736	4465
380	2744	4458
381	2750	4450
382	2758	4443
383	2764	4435
384	2771	4427
385	2778	4420
386	2785	4412
387	2792	4405
388	2799	4397
389	2806	4389
390	2813	4381
391	2820	4374
392	2828	4367
393	2835	4360
394	2842	4353
395	2849	4345
396	2856	4338
397	2862	4330
398	2869	4322
399	2877	4315
400	2884	4308
401	2891	4300
402	2898	4293
403	2905	4285
404	2911	4278
405	2918	4270
406	2925	4262
407	2932	4255
408	2939	4247
409	2946	4240
410	2953	4232
411	2960	4225
412	2967	4217
413	2974	4210
414	2981	4202
415	2988	4195
416	2995	4187
417	3002	4180
418	3009	4172
419	3016	4165
420	3023	4157
421	3030	4150
422	3037	4143
423	3044	4135
424	3050	4127
425	3057	4120
426	3064	4112
427	3071	4104
428	3079	4098
429	3086	4091
430	3093	4084
431	3101	4077
432	3108	4070
433	3115	4063
434	3122	4055
435	3129	4048
436	3137	4041
437	3144	4034
438	3151	4026
439	3158	4019
440	3165	4012
441	3172	4005
442	3179	3997
443	3186	3990
444	3193	3983
445	3200	3976
446	3207	3968
447	3215	3961
448	3222	3954
449	3229	3947
450	3236	3939
451	3243	3932
452	3250	3925
453	3258	3918
454	3265	3911
455	3273	3905
456	3281	3898
457	3289	3892
458	3297	3886
459	3305	3880
460	3312	3873
461	3326	3873
462	3334	3867
463	3342	3860
464	3350	3854
465	3358	3848
466	3366	3841
467	3373	3835
468	3381	3828
469	3389	3822
470	3397	3815
471	3404	3808
472	3412	3802
473	3420	3795
474	3428	3788
475	3435	3782
476	3443	3775
477	3451	3769
478	3459	3762
479	3467	3756
480	3475	3749
481	3483	3743
482	3490	3736
483	3498	3729
484	3505	3722
485	3513	3716
486	3521	3709
487	3529	3702
488	3536	3695
489	3544	3689
490	3552	3682
491	3560	3675
492	3567	3669
493	3575	3662
494	3583	3655
495	3589	3647
496	3597	3640
497	3604	3633
498	3612	3627
499	3620	3620
500	3628	3613
501	3635	3606
502	3643	3599
503	3650	3592
504	3658	3585
505	3665	3579
506	3673	3571
507	3680	3564
508	3688	3557
509	3696	3551
510	3703	3544
511	3712	3538
512	3719	3531
513	3727	3524
514	3734	3517
515	3743	3511
516	3750	3504
517	3758	3497
518	3765	3490
519	3773	3483
520	3781	3476
521	3788	3469
522	3796	3462
523	3804	3455
524	3811	3448
525	3819	3441
526	3827	3434
527	3834	3427
528	3841	3420
529	3849	3413
530	3857	3406
531	3864	3400
532	3872	3392
533	3879	3385
534	3887	3378
535	3894	3371
536	3902	3364
537	3910	3358
538	3918	3351
539	3927	3345
540	3935	3338
541	3943	3332
542	3950	3325
543	3960	3319
544	3968	3312
545	3975	3305
546	3982	3298
547	3991	3292
548	4000	3286
549	4008	3279
550	4016	3272
551	4024	3266
552	4031	3259
553	4039	3251
554	4046	3244
555	4053	3237
556	4061	3230
557	4069	3223
558	4076	3215
559	4084	3209
560	4092	3202
561	4106	3200
562	4114	3193
563	4121	3186
564	4129	3179
565	4136	3172
566	4144	3164
567	4152	3157
568	4160	3151
569	4168	3144
570	4176	3137
571	4184	3130
572	4191	3123
573	4199	3116
574	4207	3109
575	4215	3103
576	4223	3095
577	4230	3089
578	4238	3081
579	4245	3074
580	4253	3067
581	4261	3060
582	4268	3053
583	4276	3046
584	4283	3038
585	4290	3031
586	4297	3023
587	4304	3016
588	4312	3009
589	4320	3002
590	4327	2994
591	4334	2987
592	4341	2979
593	4348	2972
594	4355	2964
595	4363	2957
596	4371	2950
597	4378	2943
598	4386	2936
599	4393	2928
600	4400	2921
601	4408	2914
602	4416	2907
603	4424	2900
604	4433	2894
605	4440	2887
606	4447	2879
607	4455	2872
608	4462	2864
609	4468	2857
610	4475	2849
611	4483	2842
612	4490	2835
613	4497	2827
614	4504	2820
615	4511	2812
616	4519	2805
617	4526	2798
618	4533	2790
619	4540	2783
620	4547	2775
621	4554	2767
622	4561	2760
623	4569	2753
624	4578	2747
625	4586	2740
626	4593	2732
627	4600	2725
628	4607	2717
629	4615	2710
630	4623	2703
631	4630	2696
632	4637	2688
633	4645	2681
634	4653	2674
635	4660	2667
636	4668	2660
637	4675	2652
638	4683	2645
639	4690	2638
640	4697	2630
641	4704	2623
642	4711	2615
643	4718	2608
644	4725	2600
645	4732	2593
646	4739	2585
647	4746	2578
648	4754	2571
649	4763	2564
650	4777	2561
651	4785	2554
652	4791	2546
653	4799	2539
654	4806	2531
655	4813	2524
656	4820	2516
657	4827	2509
658	4835	2502
659	4842	2494
660	4849	2487
661	4856	2479
662	4863	2472
663	4870	2464
664	4877	2457
665	4884	2449
666	4891	2442
667	4898	2434
668	4906	2427
669	4914	2420
670	4921	2413
671	4930	2406
672	4938	2399
673	4946	2392
674	4953	2384
675	4960	2377
676	4967	2370
677	4974	2362
678	4981	2355
679	4988	2347
680	4995	2340
681	5002	2332
682	5009	2325
683	5016	2317
684	5023	2310
685	5030	2302
686	5037	2295
687	5045	2288
688	5052	2280
689	5059	2273
690	5067	2265
691	5074	2258
692	5081	2250
693	5088	2243
694	5095	2236
695	5102	2228
696	5109	2221
697	5116	2213
698	5123	2206
699	5130	2198
700	5137	2191
701	5144	2183
702	5151	2176
703	5158	2168
704	5165	2161
705	5172	2153
706	5179	2146
707	5186	2139
708	5193	2131
709	5200	2124
710	5207	2116
711	5214	2109
712	5221	2101
713	5228	2094
714	5235	2086
715	5242	2079
716	5249	2071
717	5255	2064
718	5263	2056
719	5270	2049
720	5277	2042
721	5284	2034
722	5292	2027
723	5299	2020
724	5306	2012
725	5313	2005
726	5320	1997
727	5327	1990
728	5334	1982
729	5341	1975
730	5348	1968
731	5355	1960
732	5362	1953
733	5369	1945
734	5377	1938
735	5385	1931
736	5391	1924
737	5398	1916
738	5405	1909
739	5413	1902
740	5420	1894
741	5427	1887
742	5435	1879
743	5441	1872
744	5449	1865
745	5456	1857
746	5463	1850
747	5470	1843
748	5477	1835
749	5484	1828
750	5491	1820
751	5499	1813
752	5506	1806
753	5513	1798
754	5520	1791
755	5527	1784
756	5534	1776
757	5541	1769
758	5549	1762
759	5556	1754
760	5563	1747
761	5570	1739
762	5577	1732
763	5584	1725
764	5591	1717
765	5598	1710
766	5605	1702
767	5613	1695
768	5619	1688
769	5626	1680
770	5634	1673
771	5641	1666
772	5648	1658
773	5655	1651
774	5662	1643
775	5668	1636
776	5675	1628
777	5682	1621
778	5689	1614
779	5696	1606
780	5703	1599
781	5710	1591
782	5717	1584
783	5724	1577
784	5731	1569
785	5738	1562
786	5745	1554
787	5752	1547
788	5759	1540
789	5766	1532
790	5773	1525
791	5779	1517
792	5786	1510
793	5794	1503
794	5801	1496
795	5809	1488
796	5816	1481
797	5823	1474
798	5830	1466
799	5837	1459
800	5845	1452
801	5852	1444
802	5860	1437
803	5867	1430
804	5874	1422
805	5881	1415
806	5888	1408
807	5895	1400
808	5901	1393
809	5909	1386
810	5916	1378
811	5923	1371
812	5930	1364
813	5937	1356
814	5944	1349
815	5952	1342
816	5959	1334
817	5966	1327
818	5973	1320
819	5979	1312
820	5986	1305
821	5993	1297
822	6001	1290
823	6007	1283
824	6014	1275
825	6022	1268
826	6029	1261
827	6036	1253
828	6043	1246
829	6050	1239
830	6057	1231
831	6064	1224
832	6071	1217
833	6078	1209
834	6086	1202
835	6094	1195
836	6101	1188
837	6108	1180
838	6114	1173
839	6121	1166
840	6128	1158
841	6135	1151
842	6142	1143
843	6149	1136
844	6156	1129
845	6164	1122
846	6170	1114
847	6178	1107
848	6185	1100
849	6192	1092
850	6199	1085
851	6206	1078
852	6213	1070
853	6220	1063
854	6227	1056
855	6234	1048
856	6241	1041
857	6248	1034
858	6256	1026
859	6263	1019
860	6269	1012
861	6276	1004
862	6284	997
863	6291	990
864	6298	983
865	6305	975
866	6312	968
867	6319	961
868	6326	953
869	6333	946
870	6340	938
871	6346	931
872	6354	924
873	6361	917
874	6368	909
875	6375	902
876	6383	895
877	6389	887
878	6396	880
879	6403	873
880	6410	865
881	6417	858
882	6424	851
883	6431	843
884	6438	836
885	6445	829
886	6452	822
887	6459	814
888	6465	807
889	6473	800
890	6480	792
891	6487	785
892	6494	778
893	6501	770
894	6508	763
895	6515	756
896	6522	748
897	6529	741
898	6536	734
899	6543	727
900	6550	719
901	6558	712
902	6565	705
903	6572	697
904	6579	690
905	6587	683
906	6593	676
907	6600	668
908	6607	661
909	6615	654
910	6622	646
911	6629	639
912	6635	632
913	6643	625
914	6649	617
915	6656	610
916	6664	603
917	6671	595
918	6678	588
919	6685	581
920	6692	574
921	6699	566
922	6706	559
923	6712	552
924	6719	544
925	6727	537
926	6734	530
927	6741	523
928	6749	515
929	6756	508
930	6764	501
931	6771	494
932	6778	486
933	6785	479
934	6792	472
935	6799	464
936	6806	457
937	6813	450
938	6820	443
939	6826	435
940	6833	428
941	6841	421
942	6848	413
943	6855	406
944	6862	399
945	6869	392
946	6876	384
947	6883	377
948	6890	370
949	6897	363
950	6904	355
951	6912	348
952	6919	341
953	6926	333
954	6933	326
955	6940	319
956	6947	312
957	6954	304
958	6962	297
959	6969	290
960	6975	283
961	6983	275
962	6990	268
963	6997	261
964	7004	254
965	7011	246
966	7018	239
967	7026	232
968	7033	225
969	7039	217
970	7047	210
971	7054	203
972	7061	195
973	7069	188
974	7076	181
975	7084	174
976	7091	166
977	7099	159
978	7106	152
979	7113	145
980	7120	137
981	7127	130
982	7134	123
983	7141	116
984	7148	108
985	7155	101
986	7161	94
987	7168	87
988	7175	79
989	7183	72
990	7190	65
991	7196	58
992	7203	50
993	7210	43
994	7217	36
995	7224	29
996	7231	21
997	7238	14
998	7245	7
999	7252	0
