iter	Logloss
0	0.6849222652
1	0.6767679432
2	0.6696167549
3	0.6629787899
4	0.6567448085
5	0.6510723318
6	0.6453241621
7	0.6399724415
8	0.6348707028
9	0.6301427819
10	0.6249695145
11	0.6209684582
12	0.6178593
13	0.6132405482
14	0.6098185151
15	0.6058992815
16	0.6022136295
17	0.5996458758
18	0.5968051065
19	0.5945477613
20	0.5913863492
21	0.5887756055
22	0.5860377254
23	0.5837866603
24	0.5823469182
25	0.580396697
26	0.5785021453
27	0.5773780575
28	0.5754851722
29	0.572766894
30	0.5712460297
31	0.5696842711
32	0.5685866384
33	0.5669609341
34	0.5650399091
35	0.5635847857
36	0.5616794305
37	0.5602760491
38	0.5595535375
39	0.5584226929
40	0.5567187739
41	0.5555492011
42	0.5546000447
43	0.5535353265
44	0.5528593389
45	0.5522077528
46	0.5519416114
47	0.5506507727
48	0.5497914273
49	0.548977526
50	0.5478906061
51	0.5468305927
52	0.5463145581
53	0.5456425837
54	0.5443362112
55	0.5437978872
56	0.5432966772
57	0.5429253751
58	0.5421330739
59	0.5413158694
60	0.5402149225
61	0.5394934994
62	0.5388611938
63	0.5382589428
64	0.5375854495
65	0.537125221
66	0.536507162
67	0.5359374321
68	0.5353832117
69	0.5347249105
70	0.534033898
71	0.5336888805
72	0.5330832186
73	0.5326584659
74	0.532358055
75	0.5320531895
76	0.5315544852
77	0.5312930269
78	0.5308809392
79	0.5302427531
80	0.5299571188
81	0.5296228466
82	0.5294109718
83	0.5291327749
84	0.528638932
85	0.5284892591
86	0.5280614997
87	0.5277161905
88	0.5275490949
89	0.5274086127
90	0.5272628969
91	0.5269500571
92	0.5266348062
93	0.5261052715
94	0.525967674
95	0.5254205281
96	0.5250960715
97	0.5247095444
98	0.5244707878
99	0.5243037678
100	0.5241331896
101	0.5239847287
102	0.5236410684
103	0.5231570627
104	0.5229855847
105	0.522741689
106	0.5225410625
107	0.5222661605
108	0.5219708957
109	0.5217957911
110	0.5215976669
111	0.5212871347
112	0.5211673725
113	0.520874625
114	0.5207352526
115	0.5206238865
116	0.520442875
117	0.5201516961
118	0.5199562545
119	0.5198074569
120	0.5196573602
121	0.5193454095
122	0.5191163899
123	0.5189501154
124	0.5184586978
125	0.5182906068
126	0.5179987902
127	0.5178265742
